student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Total_Family_Education,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,support_sch_or_fam,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,Total_alc,health,absences,G1,G2,G3,Subject,Concat,Count,Average_Grade
13,GP,M,15,U,LE3,T,4,4,8,health,services,course,father,1,1,0,no,yes,1,no,yes,yes,yes,yes,no,4,3,3,1,3,4,5,0,12,13,12,por,noyesUyesyes4yes410no15LE3T4healthservicescourse3noMyesGP1father31350,1,12.33333333
14,GP,M,15,U,GT3,T,4,3,7,teacher,other,course,mother,2,2,0,no,yes,1,no,no,yes,yes,yes,no,5,4,3,1,2,3,3,0,12,12,13,por,noyesUyesno5yes320no15GT3T4teacherothercourse4noMyesGP2mother31230,1,12.33333333
16,GP,F,16,U,GT3,T,4,4,8,health,other,home,mother,1,1,0,no,yes,1,no,no,yes,yes,yes,no,4,4,4,1,2,3,2,6,17,17,17,por,noyesUyesno4yes410no16GT3T4healthotherhome4noFyesGP1mother41226,1,17
17,GP,F,16,U,GT3,T,4,4,8,services,services,reputation,mother,1,3,0,no,yes,1,no,yes,yes,yes,yes,no,3,2,3,1,2,3,2,10,13,13,14,por,noyesUyesyes3yes430no16GT3T4servicesservicesreputation2noFyesGP1mother312210,1,13.33333333
18,GP,F,16,U,GT3,T,3,3,6,other,other,reputation,mother,3,2,0,yes,yes,2,no,yes,yes,yes,no,no,5,3,2,1,1,2,4,2,13,14,14,por,yesnoUyesyes5yes320no16GT3T3otherotherreputation3noFyesGP3mother21142,1,13.66666667
19,GP,M,17,U,GT3,T,3,2,5,services,services,course,mother,1,1,3,no,yes,1,yes,yes,yes,yes,yes,no,5,5,5,2,4,6,5,2,8,8,7,por,noyesUyesyes5yes213yes17GT3T3servicesservicescourse5noMyesGP1mother52452,1,7.666666667
20,GP,M,16,U,LE3,T,4,3,7,health,other,home,father,1,1,0,no,no,0,no,yes,yes,yes,yes,no,3,1,3,1,3,4,5,6,12,12,12,por,noyesUnoyes3yes310no16LE3T4healthotherhome1noMyesGP1father31356,1,12
23,GP,M,16,U,LE3,T,4,2,6,teacher,other,course,mother,1,2,0,no,no,0,no,yes,yes,yes,yes,no,4,5,1,1,3,4,5,0,12,13,14,por,noyesUnoyes4yes220no16LE3T4teacherothercourse5noMyesGP1mother11350,1,13
24,GP,M,16,U,LE3,T,2,2,4,other,other,reputation,mother,2,2,0,no,yes,1,no,yes,yes,yes,yes,no,5,4,4,2,4,6,5,2,10,10,10,por,noyesUyesyes5yes220no16LE3T2otherotherreputation4noMyesGP2mother42452,1,10
25,GP,F,15,R,GT3,T,2,4,6,services,health,course,mother,1,3,0,yes,yes,2,no,yes,yes,yes,yes,no,4,3,2,1,1,2,5,2,10,11,10,por,yesyesRyesyes4yes430no15GT3T2serviceshealthcourse3noFyesGP1mother21152,1,10.33333333
26,GP,F,16,U,GT3,T,2,2,4,services,services,home,mother,1,1,0,no,yes,1,no,no,no,yes,yes,no,1,2,2,1,3,4,5,6,10,11,12,por,noyesUyesno1no210no16GT3T2servicesserviceshome2noFyesGP1mother21356,1,11
27,GP,M,15,U,GT3,T,2,2,4,other,other,home,mother,1,1,0,no,yes,1,no,no,yes,yes,yes,no,4,2,2,1,2,3,5,8,11,12,12,por,noyesUyesno4yes210no15GT3T2otherotherhome2noMyesGP1mother21258,1,11.66666667
28,GP,M,15,U,GT3,T,4,2,6,health,services,other,mother,1,1,0,no,no,0,no,no,yes,yes,yes,no,2,2,4,2,4,6,1,0,11,11,11,por,noyesUnono2yes210no15GT3T4healthservicesother2noMyesGP1mother42410,1,11
29,GP,M,16,U,LE3,A,3,4,7,services,other,home,mother,1,2,0,yes,yes,2,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,5,2,12,12,13,por,yesyesUyesyes5yes420yes16LE3A3servicesotherhome3noMyesGP1mother31152,1,12.33333333
30,GP,M,16,U,GT3,T,4,4,8,teacher,teacher,home,mother,1,2,0,no,yes,1,yes,yes,yes,yes,yes,yes,4,4,5,5,5,10,5,4,12,11,12,por,noyesUyesyes4yes420yes16GT3T4teacherteacherhome4yesMyesGP1mother55554,1,11.66666667
32,GP,M,15,U,GT3,T,4,4,8,services,services,reputation,mother,2,2,0,no,yes,1,no,yes,yes,yes,yes,no,4,3,1,1,1,2,5,2,15,15,15,por,noyesUyesyes4yes420no15GT3T4servicesservicesreputation3noMyesGP2mother11152,1,15
35,GP,M,16,U,GT3,T,3,2,5,other,other,home,mother,1,1,0,no,yes,1,no,no,no,yes,yes,no,5,4,3,1,1,2,5,4,12,12,12,por,noyesUyesno5no210no16GT3T3otherotherhome4noMyesGP1mother31154,1,12
36,GP,F,15,U,GT3,T,2,3,5,other,other,other,father,2,1,0,no,yes,1,no,yes,yes,yes,no,no,3,5,1,1,1,2,5,4,11,11,11,por,nonoUyesyes3yes310no15GT3T2otherotherother5noFyesGP2father11154,1,11
37,GP,M,15,U,LE3,T,4,3,7,teacher,services,home,mother,1,3,0,no,yes,1,no,yes,yes,yes,yes,no,5,4,3,1,1,2,4,0,14,14,14,por,noyesUyesyes5yes330no15LE3T4teacherserviceshome4noMyesGP1mother31140,1,14
38,GP,M,16,R,GT3,A,4,4,8,other,teacher,reputation,mother,2,3,0,no,yes,1,no,yes,yes,yes,yes,yes,2,4,3,1,1,2,5,4,13,13,13,por,noyesRyesyes2yes430no16GT3A4otherteacherreputation4yesMyesGP2mother31154,1,13
39,GP,F,15,R,GT3,T,3,4,7,services,health,course,mother,1,3,0,yes,yes,2,no,yes,yes,yes,yes,no,4,3,2,1,1,2,5,2,11,12,12,por,yesyesRyesyes4yes430no15GT3T3serviceshealthcourse3noFyesGP1mother21152,1,11.66666667
40,GP,F,15,R,GT3,T,2,2,4,at_home,other,reputation,mother,1,1,0,yes,yes,2,no,yes,yes,yes,no,no,4,3,1,1,1,2,2,8,14,13,12,por,yesnoRyesyes4yes210no15GT3T2at_homeotherreputation3noFyesGP1mother11128,1,13
41,GP,F,16,U,LE3,T,2,2,4,other,other,home,mother,2,2,0,no,yes,1,no,yes,no,yes,yes,yes,3,3,3,1,2,3,3,16,11,11,10,por,noyesUyesyes3no220no16LE3T2otherotherhome3yesFyesGP2mother312316,1,10.66666667
43,GP,M,15,U,GT3,T,4,4,8,services,teacher,course,father,1,2,0,no,yes,1,no,yes,yes,yes,yes,no,4,3,3,1,1,2,5,0,14,15,15,por,noyesUyesyes4yes420no15GT3T4servicesteachercourse3noMyesGP1father31150,1,14.66666667
46,GP,F,15,U,LE3,A,4,3,7,other,other,course,mother,1,2,0,yes,yes,2,yes,yes,yes,yes,yes,yes,5,2,2,1,1,2,5,4,10,11,11,por,yesyesUyesyes5yes320yes15LE3A4otherothercourse2yesFyesGP1mother21154,1,10.66666667
47,GP,F,16,U,LE3,A,3,3,6,other,services,home,mother,1,2,0,no,yes,1,no,no,yes,yes,yes,no,2,3,5,1,4,5,3,6,13,12,13,por,noyesUyesno2yes320no16LE3A3otherserviceshome3noFyesGP1mother51436,1,12.66666667
48,GP,M,16,U,GT3,T,4,3,7,health,services,reputation,mother,1,4,0,no,no,0,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,2,17,17,17,por,noyesUnoyes4yes340no16GT3T4healthservicesreputation2noMyesGP1mother21122,1,17
49,GP,M,15,U,GT3,T,4,2,6,teacher,other,home,mother,1,2,0,no,yes,1,no,no,yes,yes,no,no,4,3,3,2,2,4,5,4,11,12,13,por,nonoUyesno4yes220no15GT3T4teacherotherhome3noMyesGP1mother32254,1,12
50,GP,F,15,U,GT3,T,4,4,8,services,teacher,other,father,1,2,0,yes,yes,2,no,yes,no,yes,yes,no,4,4,4,1,1,2,3,2,13,12,12,por,yesyesUyesyes4no420no15GT3T4servicesteacherother4noFyesGP1father41132,1,12.33333333
51,GP,F,16,U,LE3,T,2,2,4,services,services,course,mother,3,2,0,no,yes,1,no,no,yes,yes,yes,no,4,3,3,2,3,5,4,0,14,13,13,por,noyesUyesno4yes220no16LE3T2servicesservicescourse3noFyesGP3mother32340,1,13.33333333
52,GP,F,15,U,LE3,T,4,2,6,health,other,other,mother,1,2,0,no,yes,1,no,no,yes,yes,yes,no,4,3,3,1,1,2,5,0,16,14,16,por,noyesUyesno4yes220no15LE3T4healthotherother3noFyesGP1mother31150,1,15.33333333
53,GP,M,15,U,LE3,A,4,2,6,health,health,other,father,2,1,0,no,no,0,no,no,yes,yes,no,no,5,5,5,3,4,7,5,4,10,9,9,por,nonoUnono5yes210no15LE3A4healthhealthother5noMyesGP2father53454,1,9.333333333
54,GP,F,15,U,GT3,T,4,4,8,services,services,course,mother,1,1,0,yes,yes,2,no,no,yes,yes,yes,no,3,3,4,2,3,5,5,0,13,12,12,por,yesyesUyesno3yes410no15GT3T4servicesservicescourse3noFyesGP1mother42350,1,12.33333333
55,GP,F,15,U,LE3,A,3,3,6,other,other,other,mother,1,1,0,no,no,0,no,no,yes,yes,yes,no,5,3,4,4,4,8,1,0,13,12,13,por,noyesUnono5yes310no15LE3A3otherotherother3noFyesGP1mother44410,1,12.66666667
56,GP,F,16,U,GT3,A,2,1,3,other,other,other,mother,1,2,0,no,no,0,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,2,12,13,12,por,noyesUnoyes5yes120no16GT3A2otherotherother3yesFyesGP1mother41122,1,12.33333333
57,GP,F,15,U,GT3,A,4,3,7,services,services,reputation,mother,1,2,0,no,yes,1,no,yes,yes,yes,yes,no,4,3,2,1,1,2,1,0,15,14,15,por,noyesUyesyes4yes320no15GT3A4servicesservicesreputation3noFyesGP1mother21110,1,14.66666667
58,GP,M,15,U,GT3,T,4,4,8,teacher,health,reputation,mother,1,2,0,no,yes,1,no,yes,yes,yes,no,no,3,2,2,1,1,2,5,8,15,15,16,por,nonoUyesyes3yes420no15GT3T4teacherhealthreputation2noMyesGP1mother21158,1,15.33333333
59,GP,M,15,U,LE3,T,1,2,3,other,at_home,home,father,1,2,0,yes,yes,2,no,yes,yes,yes,yes,no,4,3,2,1,1,2,5,0,14,13,14,por,yesyesUyesyes4yes220no15LE3T1otherat_homehome3noMyesGP1father21150,1,13.66666667
60,GP,F,16,U,GT3,T,4,2,6,services,other,course,mother,1,2,0,no,yes,1,yes,no,yes,yes,yes,no,4,2,3,1,1,2,5,2,16,15,16,por,noyesUyesno4yes220yes16GT3T4servicesothercourse2noFyesGP1mother31152,1,15.66666667
61,GP,F,16,R,GT3,T,4,4,8,health,teacher,other,mother,1,2,0,no,yes,1,no,yes,yes,yes,no,no,2,4,4,2,3,5,4,0,17,16,16,por,nonoRyesyes2yes420no16GT3T4healthteacherother4noFyesGP1mother42340,1,16.33333333
62,GP,F,16,U,GT3,T,1,1,2,services,services,course,father,4,1,0,yes,yes,2,no,yes,no,yes,yes,yes,5,5,5,5,5,10,5,0,10,10,16,por,yesyesUyesyes5no110no16GT3T1servicesservicescourse5yesFyesGP4father55550,1,12
63,GP,F,16,U,LE3,T,1,2,3,other,services,reputation,father,1,2,0,yes,no,1,no,yes,yes,yes,yes,no,4,4,3,1,1,2,1,0,13,13,10,por,yesyesUnoyes4yes220no16LE3T1otherservicesreputation4noFyesGP1father31110,1,12
64,GP,F,16,U,GT3,T,4,3,7,teacher,health,home,mother,1,3,0,yes,yes,2,no,yes,yes,yes,yes,no,3,4,4,2,4,6,4,0,14,13,13,por,yesyesUyesyes3yes330no16GT3T4teacherhealthhome4noFyesGP1mother42440,1,13.33333333
67,GP,M,15,U,GT3,A,4,4,8,other,services,reputation,mother,1,4,0,no,yes,1,no,yes,no,yes,yes,yes,1,3,3,5,5,10,3,0,11,12,12,por,noyesUyesyes1no440no15GT3A4otherservicesreputation3yesMyesGP1mother35530,1,11.66666667
68,GP,F,16,U,GT3,T,3,1,4,services,other,course,mother,1,4,0,yes,yes,2,no,no,yes,yes,yes,no,4,3,3,1,2,3,5,0,10,9,10,por,yesyesUyesno4yes140no16GT3T3servicesothercourse3noFyesGP1mother31250,1,9.666666667
69,GP,F,15,R,LE3,T,2,2,4,health,services,reputation,mother,2,2,0,yes,yes,2,no,no,yes,yes,yes,no,4,1,3,1,3,4,4,0,11,10,11,por,yesyesRyesno4yes220no15LE3T2healthservicesreputation1noFyesGP2mother31340,1,10.66666667
70,GP,F,15,R,LE3,T,3,1,4,other,other,reputation,father,2,4,0,no,yes,1,no,no,no,yes,yes,no,4,4,2,2,3,5,3,6,15,15,15,por,noyesRyesno4no140no15LE3T3otherotherreputation4noFyesGP2father22336,1,15
71,GP,M,16,U,GT3,T,3,1,4,other,other,reputation,father,2,4,0,no,yes,1,no,no,yes,yes,yes,no,4,3,2,1,1,2,5,2,13,11,11,por,noyesUyesno4yes140no16GT3T3otherotherreputation3noMyesGP2father21152,1,11.66666667
73,GP,F,15,R,GT3,T,1,1,2,other,other,reputation,mother,1,2,0,yes,yes,2,no,no,no,yes,yes,yes,3,3,4,2,4,6,5,2,13,11,11,por,yesyesRyesno3no120no15GT3T1otherotherreputation3yesFyesGP1mother42452,1,11.66666667
74,GP,M,16,U,GT3,T,3,1,4,other,other,reputation,mother,1,1,0,no,no,0,no,yes,yes,yes,no,no,5,3,2,2,2,4,5,0,13,13,14,por,nonoUnoyes5yes110no16GT3T3otherotherreputation3noMyesGP1mother22250,1,13.33333333
75,GP,F,16,U,GT3,T,3,3,6,other,services,home,mother,1,2,0,yes,yes,2,no,yes,yes,yes,yes,no,4,3,3,2,4,6,5,4,11,11,11,por,yesyesUyesyes4yes320no16GT3T3otherserviceshome3noFyesGP1mother32454,1,11
76,GP,M,15,U,GT3,T,4,3,7,teacher,other,home,mother,1,2,0,no,yes,1,no,yes,yes,yes,yes,no,4,3,3,2,3,5,5,0,11,11,11,por,noyesUyesyes4yes320no15GT3T4teacherotherhome3noMyesGP1mother32350,1,11
77,GP,M,15,U,GT3,T,4,0,4,teacher,other,course,mother,2,4,0,no,no,0,no,yes,yes,yes,yes,no,3,4,3,1,1,2,1,0,12,11,11,por,noyesUnoyes3yes040no15GT3T4teacherothercourse4noMyesGP2mother31110,1,11.33333333
78,GP,F,16,U,GT3,T,2,2,4,other,other,reputation,mother,1,4,0,no,no,0,no,no,yes,yes,yes,yes,5,2,3,1,3,4,3,1,13,13,13,por,noyesUnono5yes240no16GT3T2otherotherreputation2yesFyesGP1mother31331,1,13
79,GP,M,17,U,GT3,T,2,1,3,other,other,home,mother,2,1,3,yes,yes,2,no,yes,yes,no,yes,no,4,5,1,1,1,2,3,0,9,9,10,por,yesyesUyesyes4yes113no17GT3T2otherotherhome5noMnoGP2mother11130,1,9.333333333
80,GP,F,16,U,GT3,T,3,4,7,at_home,other,course,mother,1,2,0,no,yes,1,no,no,yes,yes,yes,no,2,4,3,1,2,3,3,14,12,11,11,por,noyesUyesno2yes420no16GT3T3at_homeothercourse4noFyesGP1mother312314,1,11.33333333
81,GP,M,15,U,GT3,T,2,3,5,other,services,course,father,1,1,0,yes,yes,2,no,yes,no,yes,yes,yes,3,2,2,1,3,4,3,0,11,11,12,por,yesyesUyesyes3no310no15GT3T2otherservicescourse2yesMyesGP1father21330,1,11.33333333
82,GP,M,15,U,GT3,T,2,3,5,other,other,home,mother,1,3,0,yes,no,1,no,no,no,yes,yes,no,5,3,2,1,2,3,5,2,10,9,9,por,yesyesUnono5no330no15GT3T2otherotherhome3noMyesGP1mother21252,1,9.333333333
83,GP,F,15,U,LE3,T,3,2,5,services,other,reputation,mother,1,2,0,no,yes,1,no,no,yes,yes,yes,no,4,4,4,1,1,2,5,4,12,11,11,por,noyesUyesno4yes220no15LE3T3servicesotherreputation4noFyesGP1mother41154,1,11.33333333
84,GP,M,15,U,LE3,T,2,2,4,services,services,home,mother,2,2,0,no,no,0,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,2,13,12,13,por,noyesUnoyes5yes220yes15LE3T2servicesserviceshome3noMyesGP2mother31342,1,12.66666667
86,GP,F,15,U,GT3,T,4,4,8,services,services,reputation,father,2,2,0,no,no,0,no,no,yes,yes,yes,yes,4,4,4,2,3,5,5,4,12,11,12,por,noyesUnono4yes420no15GT3T4servicesservicesreputation4yesFyesGP2father42354,1,11.66666667
87,GP,F,16,U,LE3,T,2,2,4,at_home,other,course,mother,1,2,0,no,yes,1,no,no,yes,yes,no,no,4,3,4,1,2,3,2,6,13,11,11,por,nonoUyesno4yes220no16LE3T2at_homeothercourse3noFyesGP1mother41226,1,11.66666667
89,GP,M,16,U,GT3,T,2,2,4,services,other,reputation,father,2,2,0,no,no,0,no,yes,no,yes,yes,no,4,4,2,1,1,2,3,6,12,10,11,por,noyesUnoyes4no220no16GT3T2servicesotherreputation4noMyesGP2father21136,1,11
90,GP,M,16,U,LE3,A,4,4,8,teacher,health,reputation,mother,1,2,0,no,yes,1,no,no,yes,yes,no,no,4,1,3,3,5,8,5,6,9,9,10,por,nonoUyesno4yes420no16LE3A4teacherhealthreputation1noMyesGP1mother33556,1,9.333333333
91,GP,F,16,U,GT3,T,3,3,6,other,other,home,mother,1,3,0,no,yes,1,no,no,yes,yes,yes,yes,4,3,3,1,3,4,4,2,9,11,11,por,noyesUyesno4yes330no16GT3T3otherotherhome3yesFyesGP1mother31342,1,10.33333333
92,GP,F,15,U,GT3,T,4,3,7,services,other,reputation,mother,1,1,0,no,no,0,no,yes,yes,yes,yes,no,4,5,5,1,3,4,1,6,14,13,13,por,noyesUnoyes4yes310no15GT3T4servicesotherreputation5noFyesGP1mother51316,1,13.33333333
93,GP,F,16,U,LE3,T,3,1,4,other,other,home,father,1,2,0,yes,yes,2,no,no,yes,yes,no,no,3,3,3,2,3,5,2,0,12,13,12,por,yesnoUyesno3yes120no16LE3T3otherotherhome3noFyesGP1father32320,1,12.33333333
94,GP,F,16,U,GT3,T,4,2,6,teacher,services,home,mother,2,2,0,no,yes,1,no,yes,yes,yes,yes,no,5,3,3,1,1,2,1,2,13,14,14,por,noyesUyesyes5yes220no16GT3T4teacherserviceshome3noFyesGP2mother31112,1,13.66666667
95,GP,M,15,U,LE3,T,2,2,4,services,health,reputation,mother,1,4,0,no,yes,1,no,yes,yes,yes,yes,no,4,3,4,1,1,2,4,2,11,12,12,por,noyesUyesyes4yes240no15LE3T2serviceshealthreputation3noMyesGP1mother41142,1,11.66666667
96,GP,F,15,R,GT3,T,1,1,2,at_home,other,home,mother,2,4,0,yes,yes,2,yes,yes,yes,yes,yes,no,3,1,2,1,1,2,1,4,13,13,13,por,yesyesRyesyes3yes140yes15GT3T1at_homeotherhome1noFyesGP2mother21114,1,13
97,GP,M,16,R,GT3,T,4,3,7,services,other,reputation,mother,2,1,0,yes,yes,2,yes,yes,no,yes,yes,no,3,3,3,1,1,2,4,6,9,11,11,por,yesyesRyesyes3no310yes16GT3T4servicesotherreputation3noMyesGP2mother31146,1,10.33333333
98,GP,F,16,U,GT3,T,2,1,3,other,other,course,mother,1,2,0,no,yes,1,no,no,yes,yes,no,yes,4,3,5,1,1,2,5,0,13,12,12,por,nonoUyesno4yes120no16GT3T2otherothercourse3yesFyesGP1mother51150,1,12.33333333
99,GP,F,16,U,GT3,T,4,4,8,other,other,reputation,mother,1,1,0,no,no,0,no,yes,no,yes,yes,no,5,3,4,1,2,3,1,4,12,13,13,por,noyesUnoyes5no410no16GT3T4otherotherreputation3noFyesGP1mother41214,1,12.66666667
100,GP,F,16,U,GT3,T,4,3,7,other,at_home,course,mother,1,3,0,yes,yes,2,no,no,yes,yes,yes,no,5,3,5,1,1,2,3,2,12,13,13,por,yesyesUyesno5yes330no16GT3T4otherat_homecourse3noFyesGP1mother51132,1,12.66666667
101,GP,M,16,U,GT3,T,4,4,8,services,services,other,mother,1,1,0,yes,yes,2,no,yes,yes,yes,yes,no,4,5,5,5,5,10,4,12,9,9,8,por,yesyesUyesyes4yes410no16GT3T4servicesservicesother5noMyesGP1mother555412,1,8.666666667
103,GP,M,15,U,GT3,T,4,4,8,services,other,course,mother,1,1,0,no,yes,1,yes,yes,no,yes,yes,no,5,3,3,1,1,2,5,2,12,13,12,por,noyesUyesyes5no410yes15GT3T4servicesothercourse3noMyesGP1mother31152,1,12.33333333
104,GP,F,15,U,GT3,T,3,2,5,services,other,home,mother,2,2,0,yes,yes,2,no,no,yes,yes,yes,no,4,3,5,1,1,2,2,16,11,10,10,por,yesyesUyesno4yes220no15GT3T3servicesotherhome3noFyesGP2mother511216,1,10.33333333
105,GP,M,15,U,GT3,A,3,4,7,services,other,course,mother,1,2,0,no,yes,1,no,yes,yes,yes,yes,no,5,4,4,1,1,2,1,0,16,16,16,por,noyesUyesyes5yes420no15GT3A3servicesothercourse4noMyesGP1mother41110,1,16
107,GP,F,15,U,GT3,T,2,2,4,other,other,course,mother,1,4,0,yes,yes,2,no,no,yes,yes,yes,no,5,1,2,1,1,2,3,4,10,10,10,por,yesyesUyesno5yes240no15GT3T2otherothercourse1noFyesGP1mother21134,1,10
108,GP,M,16,U,GT3,T,3,3,6,services,other,home,father,1,3,0,no,yes,1,no,yes,yes,yes,yes,no,5,3,3,1,1,2,5,4,13,14,14,por,noyesUyesyes5yes330no16GT3T3servicesotherhome3noMyesGP1father31154,1,13.66666667
109,GP,M,15,R,GT3,T,4,4,8,other,other,home,father,4,4,0,no,yes,1,no,yes,yes,yes,yes,yes,1,3,5,3,5,8,1,8,12,10,11,por,noyesRyesyes1yes440no15GT3T4otherotherhome3yesMyesGP4father53518,1,11
110,GP,F,16,U,LE3,T,4,4,8,health,health,other,mother,1,3,0,no,yes,1,no,yes,yes,yes,yes,yes,5,4,5,1,1,2,4,2,15,15,14,por,noyesUyesyes5yes430no16LE3T4healthhealthother4yesFyesGP1mother51142,1,14.66666667
111,GP,M,15,U,LE3,A,4,4,8,teacher,teacher,course,mother,1,1,0,no,no,0,no,yes,yes,yes,yes,no,5,5,3,1,1,2,4,4,13,14,14,por,noyesUnoyes5yes410no15LE3A4teacherteachercourse5noMyesGP1mother31144,1,13.66666667
112,GP,F,16,R,GT3,T,3,3,6,services,other,reputation,father,1,3,0,yes,yes,2,no,yes,yes,yes,yes,no,4,1,2,1,1,2,2,4,11,11,11,por,yesyesRyesyes4yes330no16GT3T3servicesotherreputation1noFyesGP1father21124,1,11
113,GP,F,16,U,GT3,T,2,2,4,at_home,other,home,mother,1,2,1,yes,no,1,no,yes,yes,yes,yes,no,3,1,2,1,1,2,5,12,8,10,10,por,yesyesUnoyes3yes221no16GT3T2at_homeotherhome1noFyesGP1mother211512,1,9.333333333
115,GP,M,15,R,GT3,T,2,1,3,health,services,reputation,mother,1,2,0,no,no,0,no,yes,yes,yes,yes,yes,5,4,2,1,1,2,5,4,10,9,10,por,noyesRnoyes5yes120no15GT3T2healthservicesreputation4yesMyesGP1mother21154,1,9.666666667
116,GP,M,16,U,GT3,T,4,4,8,teacher,teacher,course,father,1,2,0,no,yes,1,no,yes,yes,yes,yes,no,5,4,4,1,2,3,5,6,16,14,14,por,noyesUyesyes5yes420no16GT3T4teacherteachercourse4noMyesGP1father41256,1,14.66666667
117,GP,M,15,U,GT3,T,4,4,8,other,teacher,reputation,father,2,2,0,no,yes,1,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,4,16,15,16,por,nonoUyesyes4yes420no15GT3T4otherteacherreputation4noMyesGP2father31124,1,15.66666667
118,GP,M,16,U,GT3,T,3,3,6,other,services,home,father,2,1,0,no,no,0,no,yes,yes,yes,yes,no,5,4,2,1,1,2,5,6,14,14,15,por,noyesUnoyes5yes310no16GT3T3otherserviceshome4noMyesGP2father21156,1,14.33333333
119,GP,M,17,R,GT3,T,1,3,4,other,other,course,father,3,2,1,no,yes,1,no,yes,yes,yes,yes,no,5,2,4,1,4,5,5,14,12,11,11,por,noyesRyesyes5yes321no17GT3T1otherothercourse2noMyesGP3father414514,1,11.33333333
120,GP,M,15,U,GT3,T,3,4,7,other,other,reputation,father,1,1,0,no,no,0,no,no,yes,yes,yes,no,3,4,3,1,2,3,4,2,14,13,14,por,noyesUnono3yes410no15GT3T3otherotherreputation4noMyesGP1father31242,1,13.66666667
121,GP,F,15,U,GT3,T,1,2,3,at_home,services,course,mother,1,2,0,no,no,0,no,no,no,yes,yes,no,3,2,3,1,2,3,1,0,14,14,14,por,noyesUnono3no220no15GT3T1at_homeservicescourse2noFyesGP1mother31210,1,14
122,GP,M,15,U,GT3,T,2,2,4,services,services,home,father,1,4,0,no,yes,1,no,yes,yes,yes,yes,no,5,5,4,1,2,3,5,6,14,13,13,por,noyesUyesyes5yes240no15GT3T2servicesserviceshome5noMyesGP1father41256,1,13.33333333
